data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada
2024-03-18,antares,santa cruz,felino_m,sim
2024-03-19,antares,santa cruz,canino_f,nao
2024-03-19,antares,santa cruz,felino_f,nao
2024-03-19,antares,santa cruz,canino_m,nao
2024-03-19,antares,santa cruz,felino_f,nao
2024-03-19,antares,santa cruz,canino_f,nao
2024-03-19,antares,santa cruz,felino_m,sim
2024-03-19,antares,santa cruz,felino_m,sim
2024-03-19,antares,santa cruz,canino_f,sim
2024-03-19,antares,santa cruz,canino_f,sim
2024-03-19,antares,santa cruz,felino_m,sim
2024-03-19,antares,santa cruz,felino_f,nao
2024-03-19,antares,santa cruz,felino_f,sim
2024-03-19,antares,santa cruz,felino_f,sim
2024-03-19,antares,santa cruz,felino_m,sim
2024-03-19,antares,santa cruz,felino_f,sim
2024-03-19,antares,santa cruz,felino_m,nao
2024-03-19,antares,santa cruz,felino_m,sim
2024-03-25,guadalupe,guadalupe,felino_m,nao
2024-03-25,guadalupe,guadalupe,felino_m,nao
2024-03-25,guadalupe,guadalupe,felino_m,nao
2024-03-25,guadalupe,guadalupe,felino_f,nao
2024-03-25,guadalupe,guadalupe,canino_m,nao
2024-03-25,guadalupe,guadalupe,canino_f,sim
2024-03-25,guadalupe,guadalupe,canino_f,sim
2024-03-25,guadalupe,guadalupe,felino_m,sim
2024-03-25,guadalupe,guadalupe,canino_f,sim
